@format:idx,R,R,P,P,P,P,tmin,tmax,rate
@common:user_Auv,user_alb,user_xi,user_AuvAv,user_rbinscale,user_rscale,user_Gstar,user_Auv_star,user_Gcomp,user_Auv_comp
0,C-,C,C2,E,,,1.00e+01,4.10e+04,5.00e-10
1,C-,CH2,C2H2,E,,,1.00e+01,4.10e+04,5.00e-10
2,C-,CH,C2H,E,,,1.00e+01,4.10e+04,5.00e-10
3,C-,CO2,CO,CO,E,,1.00e+01,4.10e+04,4.70e-11
4,C-,H2O,H2CO,E,,,1.00e+01,4.10e+04,5.00e-10
5,C-,N,CN,E,,,1.00e+01,4.10e+04,5.00e-10
6,C-,NH,HCN,E,,,1.00e+01,4.10e+04,5.00e-10
7,C-,O2,CO2,E,,,1.00e+01,4.10e+04,5.00e-11
8,C-,O,CO,E,,,1.00e+01,4.10e+04,5.00e-10
9,C-,OH,HCO,E,,,1.00e+01,4.10e+04,5.00e-10
10,C2-,C2,C4,E,,,1.00e+01,3.00e+02,1.00e-09
11,C2-,C3,C5,E,,,1.00e+01,3.00e+02,1.00e-09
12,C2-,C4,C6,E,,,1.00e+01,3.00e+02,1.00e-09
13,C2-,C5,C7,E,,,1.00e+01,3.00e+02,1.00e-09
14,C2-,C6,C8,E,,,1.00e+01,3.00e+02,1.00e-09
15,C2-,C7,C9,E,,,1.00e+01,3.00e+02,1.00e-09
16,C2-,C8,C10,E,,,1.00e+01,3.00e+02,1.00e-09
17,C3-,C3,C6,E,,,1.00e+01,3.00e+02,1.00e-09
18,C3-,C4,C7,E,,,1.00e+01,3.00e+02,1.00e-09
19,C3-,C5,C8,E,,,1.00e+01,3.00e+02,1.00e-09
20,C3-,C6,C9,E,,,1.00e+01,3.00e+02,1.00e-09
21,C3-,C7,C10,E,,,1.00e+01,3.00e+02,1.00e-09
22,C4-,C2,C6,E,,,1.00e+01,3.00e+02,1.00e-09
23,C4-,C3,C7,E,,,1.00e+01,3.00e+02,1.00e-09
24,C4-,C4,C8,E,,,1.00e+01,3.00e+02,1.00e-09
25,C4-,C5,C9,E,,,1.00e+01,3.00e+02,1.00e-09
26,C4-,C6,C10,E,,,1.00e+01,3.00e+02,1.00e-09
27,C5-,C2,C7,E,,,1.00e+01,3.00e+02,1.00e-09
28,C5-,C3,C8,E,,,1.00e+01,3.00e+02,1.00e-09
29,C5-,C4,C9,E,,,1.00e+01,3.00e+02,1.00e-09
30,C5-,C5,C10,E,,,1.00e+01,3.00e+02,1.00e-09
31,C6-,C2,C8,E,,,1.00e+01,3.00e+02,1.00e-09
32,C6-,C3,C9,E,,,1.00e+01,3.00e+02,1.00e-09
33,C6-,C4,C10,E,,,1.00e+01,3.00e+02,1.00e-09
34,C7-,C2,C9,E,,,1.00e+01,3.00e+02,1.00e-09
35,C7-,C3,C10,E,,,1.00e+01,3.00e+02,1.00e-09
36,C8-,C2,C10,E,,,1.00e+01,3.00e+02,1.00e-09
37,C,C10-,C5,C6,E,,1.00e+01,3.00e+02,1.00e-09
38,C,C2-,C3,E,,,1.00e+01,3.00e+02,1.00e-09
39,C,C2H-,C3H,E,,,1.00e+01,3.00e+02,1.00e-09
40,C,C3-,C4,E,,,1.00e+01,3.00e+02,1.00e-09
41,C,C3H-,C4H,E,,,1.00e+01,3.00e+02,1.00e-09
42,C,C3N-,C4N,E,,,1.00e+01,3.00e+02,1.00e-09
43,C,C4-,C5,E,,,1.00e+01,3.00e+02,1.00e-09
44,C,C4H-,C5H,E,,,1.00e+01,3.00e+02,1.00e-09
45,C,C5-,C6,E,,,1.00e+01,3.00e+02,1.00e-09
46,C,C5H-,C6H,E,,,1.00e+01,3.00e+02,1.00e-09
47,C,C6-,C7,E,,,1.00e+01,3.00e+02,1.00e-09
48,C,C6H-,C7H,E,,,1.00e+01,3.00e+02,1.00e-09
49,C,C7-,C8,E,,,1.00e+01,3.00e+02,1.00e-09
50,C,C7H-,C8H,E,,,1.00e+01,3.00e+02,1.00e-09
51,C,C8-,C9,E,,,1.00e+01,3.00e+02,1.00e-09
52,C,C8H-,C9H,E,,,1.00e+01,3.00e+02,1.00e-09
53,C,C9-,C10,E,,,1.00e+01,3.00e+02,1.00e-09
54,C,C9H-,C10H,E,,,1.00e+01,3.00e+02,1.00e-09
55,C,CH-,C2H,E,,,1.00e+01,3.00e+02,1.00e-09
56,C,O-,CO,E,,,1.00e+01,4.10e+04,5.00e-10
57,C,OH-,HCO,E,,,1.00e+01,4.10e+04,5.00e-10
58,C,S-,CS,E,,,1.00e+01,4.10e+04,1.00e-10
59,CH2,O-,H2CO,E,,,1.00e+01,4.10e+04,5.00e-10
60,CH3,CN-,CH3CN,E,,,1.00e+01,4.10e+04,1.00e-09
61,CH3,OH-,CH3OH,E,,,1.00e+01,4.10e+04,1.00e-09
62,CH,O-,HCO,E,,,1.00e+01,4.10e+04,5.00e-10
63,CH,O,HCO+,E,,,1.00e+01,2.50e+03,1.09e-11 * (Tgas / 3.0e2)**(-2.19) * exp(-165.10 / Tgas)
64,CH,OH-,H2CO,E,,,1.00e+01,4.10e+04,5.00e-10
65,CO,S-,OCS,E,,,1.00e+01,4.10e+04,3.00e-10
66,H-,C2,C2H,E,,,1.00e+01,4.10e+04,1.00e-09
67,H-,C2H,C2H2,E,,,1.00e+01,4.10e+04,1.00e-09
68,H-,C,CH,E,,,1.00e+01,4.10e+04,1.00e-09
69,H-,CH3,CH4,E,,,1.00e+01,4.10e+04,1.00e-09
70,H-,CH,CH2,E,,,1.00e+01,4.10e+04,1.00e-10
